ASIN,Ekran Boyutu,Form Faktör,Grafik Yardımcı İşlemcisi,Grafik İşlemci Üreticisi,Marka,Paket Boyutları,Price,RAM Boyutu,Renk,Sabit Disk Açıklaması,Sabit Sürücü Arabirimi,Score,Üretici,Ürün Ağırlığı,İşlemci Markası,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Grafik RAM Türü,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Piller Dahil mi?,Piller:,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,İşlemci Hızı,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Lityum Batarya Ağırlığı,Lityum Metal Hücre Sayısı,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Model Numarası,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Boyutları,Kablosuz Türü,Bellek Saat Hızı,Ekran Çözünürlüğü,Üretici Artık Üretmiyor,HDMI Bağlantı Noktası Sayısı,Ekran Teknolojisi,RAM Bellek Teknolojisi,Önemli Özellikler,İnsan Arayüz Girdisi,Üretici Referansı,Audio Details,Voltaj,Watt Değeri,Donanım Arayüzü,Ortalama Pil Ömrü,Yüklü Flash Belleğin Boyutu,Dizüstü Bilgisayar Ekran Teknolojisi,Ek Sürücüler,Dahili Hafıza,Average Battery Standby Life (in hours),Front Webcam Resolution,Model,Parça Numarası,Pil Gerekli,Piller Dahil,Sıvı Madde İçerir,Bağlantı Noktası Sayısı,Model Year,Otomatik Odaklama Var,Programlanabilir Düğmeler,USB Bağlantı Noktası Sayısı,Yatay Çözünürlük,Klavye Dili ve Düzeni,Sabit Disk Dönüş Hızı,Cihaz Türü,İşlemci Yuvası,Pil Hücre Bileşimi,Rear Webcam Resolution,Adet,Model Adı,Şarj Edilebilir Pil Dahil,Dijital Depolama Kapasitesi,Renkli Ekran,En-Boy Oranı,Yanıt Süresi,Bluetooth Teknolojisini Destekler,Hücresel Teknoloji,Lityum Batarya Voltajı,Battery Charge Time (in hours),Uzaktan Kumanda Dahil,Hoparlör Çıkış Kanalı Sayısı,Desteklenen Yazılımlar,Pil Açıklaması,Mikrofon Bağlantı Noktası Sayısı,Kart Okuyucu,Dil:,Güç Kaynağı,Model Numarası,Üretici Parça Numarası
B08P8JY581,14 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,Amd,HUAWEI,35.4 x 27 x 6.6 cm; 2.68 Kilogram,"₺6.292,70",8 GB,Metalik,Katı Hal Sürücüsü (SSD),Solid State,,HUAWEI,2.68 kg,AMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08PG4VXDQ,15.6 İnç,Taşınabilir,,AMD,HP,45 x 35 x 5 cm; 1.78 Kilogram,"₺6.850,00",8,,SSD,,"4,5 / 5 yıldız",hp,1.78 kg,AMD,Wi-Fi,Ddr_4,DDR4 SDRAM,32 GB,AGP,Tümleşik,GDDR4,41 Vat Saat,Cihazın içinde pil vardır.,3,CD-RW,2 Saat,Evet,3 Lityum İyon pil gereklidir. (piller ürüne dahildir),255 G7,3,1920 x 1080 Pixels,2.1 GHz,1,Ryzen 5 3500U,Windows 10 Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P82HZCV,14 İnç,,,Intel,Lenovo,25 x 25 x 20 cm; 3 gram,"₺5.299,00",128,,SSD,Fast SCSI,1 / 5 yıldız,Lenovo,3 g,Intel,,Ddr_4,,4 GB,PCI-E,Diğer,DDR3 SDRAM,52.5 Vat Saat,Cihazın içinde pil vardır.,1,Optik Sürücü Yok,,,,IdeaPad Flex 5 14IIL05,3,,3.4,2,Core i3,Windows 10 Home,0.3 miligram,1,128 GB,3,81X1008HTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08K2F1V87,15.6,Dizüstü Bilgisayar,,Intel,HP,51.8 x 30.2 x 6.6 cm; 3.68 Kilogram,"₺12.177,81",16 GB,Siyah,512 GB SSD,Solid State,4 / 5 yıldız,hp,3.68 kg,Intel,Intel® Wi-Fi 6 AX201 (2x2),Ddr_4,,16 GB,PCI-Express x8,GeForce RTX 2060,GDDR6,4 Vat Saat,Cihazın içinde pil vardır.,6,Optik Sürücü Yok,,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),OMEN Laptop - 15-ek0000nt,1,1920 x 1080 Pixels,4.5,4,Core i5 Family,Işletim sistemi yok,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R6H2Q45,15.6 İnç,,Nvidia,Nvidia,Monster,,"₺7.799,00",8 GB,Black,SSD,Solid State,,Monster,2.2 kg,Intel,,DDR4,SODIMM,,,,,41 Vat Saat,Piller cihazla birlikte paketlenmiştir,4,,,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),,,1080p Full HD,2.4 GHz,4,Intel Core i5,,0.41 gram,,250 GB,,,PC,4 GB,36.1 x 25.8 x 2.5 cm; 2.2 Kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08KSBBD44,14 İnç,Dizüstü Bilgisayar,,Intel,HP,45 x 30.4 x 7.4 cm; 2.22 Kilogram,"₺8.890,10",16 GB,,512 GB SSD,Solid State,"3,7 / 5 yıldız",hp,2.22 kg,Intel,Realtek RTL8821CE 802.11a/b/g/n/ac (1x1) Wi-F,Ddr_4,SDRAM,16 GB,Tümleşik,GeForce MX250,GDDR5,4.5 Vat Saat,Cihazın içinde pil vardır.,3,Optik Sürücü Yok,10 Saat,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),Pavilion - 14-ce3005nt,2,,3.9,4,Corei7-1065G7,FreeDOS,0.5 gram,1,,,,,,,"Bluetooth, 802.11bgn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07BHPFXXP,13.3 İnç,Notebook,Intel,Intel,Apple,,"₺7.698,00",8 GB,,SSD,Solid State,"4,5 / 5 yıldız",Apple Computer,2.32 kg,Intel,Wi-Fi,,DDR3 SDRAM,,Bilinmeyen,Intel HD Graphics 6000,Bilinmeyen,54 Vat Saat,Cihazın içinde pil vardır.,,Hayır,12 Saat,Evet,1 Lityum polimer pil gereklidir. (piller ürüne dahildir),,2,1440 x 900 piksel,1.8 GHz,2,Core i5,Mac OS,,,128 GB,,MQD32TU/A,Mac,3 GB,36.2 x 26.6 x 7.1 cm; 2.32 Kilogram,802.11ac,1600 MHz,1440 x 900 piksel,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08NK2D9QP,14 İnç,,,NVIDIA,Lenovo,48 x 29.2 x 7.4 cm; 2.2 Kilogram,"₺8.299,00",256,,SSD,PCIE x 4,,Lenovo,2.2 kg,Intel,,Ddr_4,,8 GB,PCI-E,Diğer,GDDR5,52.5 Vat Saat,Cihazın içinde pil vardır.,1,Optik Sürücü Yok,,,1 Lityum İyon pil gereklidir.,IdeaPad Flex 5,2,1920 x 1080 Pixels,3.6,1,Core i5-1035G1,Windows 10,,,256 GB,,81X1008JTX,,2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08NTGP8QM,,,,Nvidia,Monster,36 x 25 x 2.5 cm; 2.2 Kilogram,"₺8.099,00",16 GB,Black,SSD,Solid State,"3,5 / 5 yıldız",MONSTER,2.2 kg,Intel,,DDR4,SODIMM,,,Nvidia GeForce GTX,,,,,,,,,,,1920 x 1080 Pixels,2.4 GHz,1,Intel Core i5,DOS,,,500 GB,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08CYDPMPF,14 İnç,Notebook,Intel,Nvidia,Lenovo,,"₺11.849,00",16 GB,,SSD,Solid State,"4,6 / 5 yıldız",Lenovo,1.55 kg,Intel,Bluetooth,,DDR4 SDRAM,16 GB,Bilinmeyen,Intel_hd,Bilinmeyen,,,,Optik,10 Saat,,,,1,1920x1080,3.9 GHz,4,Core i7,Windows 10 Home,,,512 GB,1,82A100F6TX,,2,15 x 20.8 x 32 cm; 1.55 Kilogram,Bluetooth,,1920x1080,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P3YVGLX,,Dizüstü Bilgisayar,,,Lenovo,,"₺7.729,00",16 GB,,Katı Hal Sürücüsü (SSD),,,Lenovo,,AMD,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08B5XBGKM,,Dizüstü Bilgisayar,NVIDIA GeForce MX110,,Asus,,"₺7.029,00",4 GB,Şeffaf,SSD,Solid State,,Asus,1.9 kg,Intel,,,,,,,,,,,,,,,,,,,,Core i5,,,,,,,,,,,,,,,,,,,84.71.30.00.00.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08L9GB1LN,15.6,Dizüstü,,AMD,Msi,,"₺10.388,60",8 GB,Black,SSD,Solid State,"4,8 / 5 yıldız",MSI COMPUTER,1.86 kg,AMD,"Bluetooth, Wi_fi",So_dimm,DDR4 SDRAM,64 GB,PCI-Express x16,Diğer,GDDR6,51 Vat Saat,Cihazın içinde pil vardır.,3,Optik Sürücü Yok,,Evet,3 Lityum polimer pil gereklidir. (piller ürüne dahildir),BRAVO 15 A4DDR-243XTR,4,1920 x 1080 Pixels,2.9 GHz,1,AMD Ryzen 7,Linux,,,,,,PC,4 GB,25.4 x 35.9 x 2.17 cm; 1.86 Kilogram,802.11a/b/g/n/ac,3200 MHz,1920 x 1080 piksel,,,,,,,MfrPartNumber3,Hoparlörler,220 Volts,180 watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
