ASIN,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Boyutu,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Form Faktör,Grafik RAM Türü,Grafik İşlemci Üreticisi,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Marka,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Paket Boyutları,Piller Dahil mi?,Piller:,Price,RAM Boyutu,Sabit Disk Açıklaması,Score,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,Üretici,Ürün Ağırlığı,İşlemci Hızı,İşlemci Markası,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Grafik Yardımcı İşlemcisi,Renk,Sabit Sürücü Arabirimi,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Boyutları,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Model Numarası,HDMI Bağlantı Noktası Sayısı,Kablosuz Türü,Bellek Saat Hızı,Üretici Artık Üretmiyor,Donanım Arayüzü,Ekran Teknolojisi,Ortalama Pil Ömrü,RAM Bellek Teknolojisi,Model,Lityum Batarya Ağırlığı
B08P8JY581,,,,,14,,,Dizüstü Bilgisayar,,AMD,,,,HUAWEI,,,35.4 x 27 x 6.6 cm; 2.68 Kilogram,,,6292.0,8.0,SSD,,,,,Huawei,2.68,,AMD,,,,AMD Radeon Vega 8,Metalik,Solid State,,,,,,,,,,,,,,,,
B08PG4VXDQ,Wi-Fi,DDR4,DDR4 SDRAM,32.0,15.6,AGP,Tümleşik,Taşınabilir,GDDR4,AMD,41.0,Cihazın içinde pil vardır.,3.0,HP,CD-RW,2.0,45 x 35 x 5 cm; 1.78 Kilogram,Evet,3 Lityum İyon pil gereklidir. (piller ürüne dahildir),6850.0,,SSD,4.5,255 G7,3.0,1920x1080,HP,1.78,2.1,AMD,1.0,Ryzen 5 3500U,Windows 10 Home,,,,,,,,,,,,,,,,,,,
B08P82HZCV,,DDR4,,4.0,14,PCI-E,Diğer,,DDR3 SDRAM,Intel,52.5,Cihazın içinde pil vardır.,1.0,Lenovo,Yok,,25 x 25 x 20 cm; 3 gram,,,5299.0,,SSD,1.0,IdeaPad Flex 5 14IIL05,3.0,,Lenovo,3.0,3.4,Intel,2.0,Core i3,Windows 10 Home,,,Fast SCSI,128.0,3.0,,,,81X1008HTX,,,,,,,,,,0.3
B08K2F1V87,Intel® Wi-Fi 6 AX201 (2x2),DDR4,,16.0,15.6,PCI-Express x8,GeForce RTX 2060,Dizüstü Bilgisayar,GDDR6,Intel,4.0,Cihazın içinde pil vardır.,6.0,HP,Yok,,51.8 x 30.2 x 6.6 cm; 3.68 Kilogram,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),12177.0,16.0,512 GB SSD,4.0,OMEN Laptop - 15-ek0000nt,1.0,1920x1080,HP,3.68,4.5,Intel,4.0,Core i5 Family,FreeDOS,,Siyah,Solid State,,1.0,,,,,,,,,,,,,,
B08R6H2Q45,,DDR4,SODIMM,,15.6,,,,,NVIDIA,41.0,Piller cihazla birlikte paketlenmiştir,4.0,Monster,,,,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),7799.0,8.0,SSD,,,,1920x1080,Monster,2.2,2.4,Intel,4.0,Intel Core i5,,Nvidia,Black,Solid State,250.0,,36.1 x 25.8 x 2.5 cm; 2.2 Kilogram,PC,4.0,,,,,,,,,,,0.41
B08KSBBD44,Realtek RTL8821CE 802.11a/b/g/n/ac (1x1) Wi-F,DDR4,SDRAM,16.0,14,Tümleşik,GeForce MX250,Dizüstü Bilgisayar,GDDR5,Intel,4.5,Cihazın içinde pil vardır.,3.0,HP,Yok,10.0,45 x 30.4 x 7.4 cm; 2.22 Kilogram,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),8890.0,16.0,512 GB SSD,3.7,Pavilion - 14-ce3005nt,2.0,,HP,2.22,3.9,Intel,4.0,Corei7-1065G7,FreeDOS,,,Solid State,,,,,,,,"Bluetooth, 802.11bgn",,,,,,,,0.5
B07BHPFXXP,Wi-Fi,,DDR3 SDRAM,,13.3,,Intel HD Graphics 6000,Notebook,,Intel,54.0,Cihazın içinde pil vardır.,,Apple,Yok,12.0,,Evet,1 Lityum polimer pil gereklidir. (piller ürüne dahildir),7698.0,8.0,SSD,4.5,,2.0,1440x900,Apple Computer,2.32,1.8,Intel,2.0,Core i5,Mac OS,Intel,,Solid State,128.0,,36.2 x 26.6 x 7.1 cm; 2.32 Kilogram,Mac,3.0,MQD32TU/A,,802.11ac,1600.0,Hayır,,,,,,
B08NK2D9QP,,DDR4,,8.0,14,PCI-E,Diğer,,GDDR5,NVIDIA,52.5,Cihazın içinde pil vardır.,1.0,Lenovo,Yok,,48 x 29.2 x 7.4 cm; 2.2 Kilogram,,1 Lityum İyon pil gereklidir.,8299.0,,SSD,,IdeaPad Flex 5,2.0,1920x1080,Lenovo,2.2,3.6,Intel,1.0,Core i5-1035G1,Windows 10,,,PCIE x 4,256.0,,,,2.0,81X1008JTX,,,,,,,,,,
B08NTGP8QM,,DDR4,SODIMM,,,,Nvidia GeForce GTX,,,NVIDIA,,,,Monster,,,36 x 25 x 2.5 cm; 2.2 Kilogram,,,8099.0,16.0,SSD,3.5,,,1920x1080,Monster,2.2,2.4,Intel,1.0,Intel Core i5,DOS,,Black,Solid State,500.0,,,PC,,,,,,,,,,,,
B08CYDPMPF,Bluetooth,,DDR4 SDRAM,16.0,14,,Intel_hd,Notebook,,NVIDIA,,,,Lenovo,Optik,10.0,,,,11849.0,16.0,SSD,4.6,,1.0,1920x1080,Lenovo,1.55,3.9,Intel,4.0,Core i7,Windows 10 Home,Intel,,Solid State,512.0,1.0,15 x 20.8 x 32 cm; 1.55 Kilogram,,,82A100F6TX,1.0,Bluetooth,,,,,,,,
