Movie,All,All(<18),All(18-29),All(30-44),All(45+),Male,Male(<18),Male(18-29),Male(30-44),Male(45+),Female,Female(<18),Female(18-29),Female(30-44),Female(45+)
The Shawshank Redemption,2334362,1612,445810,907852,219787,1406359,1143,353828,756846,178504,277687,226,80576,137784,36851
The Godfather,1613786,1059,283611,649414,171054,1016320,783,236131,561755,143159,154250,133,40279,78425,24479
The Godfather: Part II,1126004,648,189327,456072,127670,721393,485,161935,399075,107818,97813,91,23086,50478,17421
The Dark Knight,2295444,1726,473180,930371,158871,1422223,1279,382404,783849,133949,253571,180,79033,133758,21842
12 Angry Men,687123,529,136253,260617,71922,424709,407,112109,223272,60434,70431,62,21297,34193,10231
Schindler's List,1209597,580,202039,489382,141992,720463,425,155454,399215,115024,161022,100,42048,83135,24228
The Lord of the Rings: The Return of the King,1637800,887,316177,663246,150231,992171,653,248665,544046,123432,209371,122,60560,109702,23904
Pulp Fiction,1820218,1071,327727,722644,187272,1104171,738,257595,607269,155874,209856,178,61459,104964,27786
"Il buono, il brutto, il cattivo",686268,377,112192,287342,93201,471958,307,99551,261410,82433,45138,46,10727,22587,9179
The Lord of the Rings: The Fellowship of the Ring,1655817,910,313519,659924,163812,986933,672,243221,535948,133713,219907,121,63361,114231,26757
Fight Club,1848546,968,364081,751524,148691,1107168,693,281317,616163,122967,238498,147,73801,124361,22738
Forrest Gump,1802099,1354,356594,678228,162673,1017266,919,262270,538242,129603,265438,238,84518,129125,29670
Inception,2059422,1417,457737,794682,144505,1216123,1000,347937,642980,118994,282470,208,97979,138839,22370
The Lord of the Rings: The Two Towers,1481012,784,284913,595604,139975,890494,582,223177,485465,114383,193784,106,55605,101589,22907
Star Wars: Episode V - The Empire Strikes Back,1155847,894,191432,450583,142670,723207,689,159349,389419,121675,109001,113,27976,54982,18536
The Matrix,1670666,990,279180,689721,174918,1026878,727,225230,578875,145678,187494,139,47550,100721,25842
Goodfellas,1016701,542,168360,420772,120545,663945,429,145150,371685,102271,84601,56,19448,43546,16096
One Flew Over the Cuckoo's Nest,915241,406,159425,377239,116099,563665,301,123269,311475,95263,119800,62,32907,60925,18729
Shichinin no samurai,314785,158,40720,138529,49172,214216,123,35967,125160,43160,22256,27,4144,11917,5231
Se7en,1439578,735,263053,587102,137635,866746,543,206700,482054,113193,181158,103,49754,96481,21726
La vita è bella,621392,343,112545,256185,64721,350640,242,78556,196027,51944,105942,67,30996,55885,11435
Cidade de Deus,697544,207,118207,341234,60235,474965,164,99247,296464,52345,67839,25,16657,40641,6872
The Silence of the Lambs,1265831,649,224703,491576,147506,736818,452,168016,395872,118992,178826,124,51351,88456,25587
It's a Wonderful Life,404250,235,60386,147869,73995,230154,160,44560,114796,57823,65099,54,14764,31353,14959
Star Wars,1228036,895,198556,477157,159650,760502,692,162848,408630,135300,123173,113,31463,61950,21580
Saving Private Ryan,1231621,622,209212,497628,138493,784886,476,177190,431613,117363,112873,78,27265,58993,18567
Sen to Chihiro no kamikakushi,648040,547,149332,246019,46057,351560,352,100553,188530,37206,115894,125,45077,53869,7905
The Green Mile,1143313,646,203809,462330,116763,675540,447,156489,372529,93441,157982,109,42090,82487,21004
Interstellar,1504577,1280,345702,488790,101737,862459,907,272756,406014,85500,168418,164,62999,73450,13791
Gisaengchung,541949,939,116598,158754,37373,276341,629,86200,128572,30273,63066,164,23982,25717,5841
Léon,1031665,557,182445,435806,106506,639304,372,139832,365713,90251,125229,105,37966,63956,14228
Seppuku,41459,72,7055,17606,5956,28804,51,6346,16048,5017,2967,19,591,1379,859
The Usual Suspects,988369,406,157751,419185,122548,635856,320,133492,361676,102316,97488,49,21438,52255,18008
The Lion King,938712,854,209532,366673,67931,515254,561,145233,278158,52792,169489,173,59302,83371,13892
The Pianist,726769,416,145898,300883,64543,426598,298,106815,239318,51885,112431,71,35585,57449,11434
Back to the Future,1054460,901,175736,421189,121249,634475,674,137263,349617,100438,127119,120,34293,65166,18561
Terminator 2: Judgment Day,992989,500,139645,446163,116786,663587,395,123275,395983,100363,77539,56,14020,44306,14363
American History X,1031994,328,180187,473995,89644,658655,253,145036,395353,74929,124604,42,31468,72199,13106
Modern Times,217046,159,42532,82729,28427,136512,119,34477,70044,24073,24258,24,7272,11677,3855
Psycho,602340,392,106833,232223,83265,353242,296,79264,186103,67771,88103,62,25315,43262,14130
Gladiator,1337278,572,228542,560240,137752,836515,446,188319,470852,114534,147181,71,35126,81139,20613
City Lights,167234,133,31683,64335,23654,106191,103,26188,54683,19703,18419,17,5040,8944,3573
The Departed,1185545,535,218558,524107,103544,766194,415,182586,444819,86198,128465,67,31524,72854,15599
The Intouchables,756317,449,180651,282979,52272,427791,301,128781,218587,41772,126451,93,46840,58836,9204
Whiplash,713931,584,180441,236306,46327,407671,433,138396,191888,38209,93974,91,37622,40255,7021
Hotaru no haka,234012,212,51156,93011,17002,134423,150,37476,74495,13784,35416,38,12623,17315,2920
The Prestige,1185940,627,255417,496647,84181,733623,482,201200,409687,69477,153193,79,48888,80628,13220
Once Upon a Time in the West,301954,143,42374,128328,50212,210580,116,37803,117443,45090,18720,15,3953,9581,4354
Casablanca,520586,216,71996,210390,90224,306706,162,52644,166004,73584,79438,39,18116,41984,15194
Nuovo Cinema Paradiso,229766,112,36118,92666,35534,137607,85,26966,74134,29063,33704,15,8466,17339,5872
Rear Window,442748,214,68794,177055,70312,267320,165,53012,144328,56776,60913,33,14593,30651,12413
Alien,785587,411,110530,324458,117228,507437,325,92647,282143,100577,73418,55,15854,38175,14767
Apocalypse Now,604524,235,81132,255914,96114,406925,198,71306,229992,84164,43655,28,8357,22842,10342
Hamilton,53472,126,9603,15325,5504,24014,74,6497,11247,3830,9234,39,2740,3778,1551
Memento,1122438,492,206307,487045,107370,705051,384,164751,407320,89486,135457,61,37617,73594,15866
The Great Dictator,202451,117,36629,81666,27736,131742,88,30405,70430,23861,20545,22,5703,10347,3427
Raiders of the Lost Ark,881881,520,124647,358143,135241,559659,419,104571,307911,112957,88461,56,17718,45577,19933
Django Unchained,1352540,777,297444,501844,103257,819690,573,237571,413372,86047,164408,95,52890,80367,15158
The Lives of Others,357574,114,57248,170661,43583,232016,81,44832,140241,36082,49176,26,11527,28475,6793
Joker,929655,1844,197284,265329,60408,478558,1185,148227,216472,49477,96010,231,35250,39736,8691
Paths of Glory,177430,147,28673,71550,27877,121117,117,25606,65287,24968,11053,23,2649,5524,2480
WALL·E,996566,861,207941,416904,80473,596350,600,154174,334490,66441,150827,160,49638,77451,12689
The Shining,895278,662,167388,355229,98627,530251,480,124953,288875,81243,124234,103,38346,61512,15665
Avengers: Infinity War,828824,2111,189239,228492,50948,453973,1459,150067,191617,42366,78763,299,29435,30617,7075
Sunset Blvd.,200931,103,29171,81372,35259,122725,84,22945,66477,28300,27479,14,5822,14060,6406
Witness for the Prosecution,108403,68,16242,40819,19890,67251,51,13447,34574,16189,12462,13,2579,5876,3409
Oldeuboi,513491,214,96035,240426,40415,342648,172,79691,208492,35108,51520,27,14617,29190,4674
Mononoke-hime,341648,203,68057,144399,26409,197706,140,48561,115219,21893,52990,43,18118,27241,4044
Spider-Man: Into the Spider-Verse,371301,1063,86507,104629,22128,203821,727,68991,90177,18973,30522,135,12395,11631,2438
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,449199,212,63395,191155,70192,296703,170,53991,168152,61595,38492,30,8411,20944,7464
The Dark Knight Rises,1511994,934,352483,580401,100254,957147,726,289981,491842,85297,162946,81,55601,79763,12984
Once Upon a Time in America,310108,120,42185,134121,49827,212765,94,36958,120933,43866,22523,17,4550,11681,5173
Aliens,651255,266,79077,283088,103665,433533,208,68315,250590,89723,54205,39,9580,29145,12399
Kimi no na wa.,192718,441,51815,47655,7236,96589,298,38835,38873,6147,23357,84,11311,7897,908
Coco,379765,789,86800,116119,23042,191798,515,60186,90161,18563,59090,188,23520,23611,3920
Avengers: Endgame,800847,2319,173039,216820,52357,415275,1404,132320,179380,42879,72781,297,25876,29308,7410
American Beauty,1067120,347,174345,472501,122342,633112,245,124623,373104,99231,170919,61,46278,93414,21080
Braveheart,956849,270,134865,431867,114357,611888,206,112058,365340,94932,106300,34,20668,61171,17657
Das Boot,231165,81,22963,94084,50807,159009,67,20311,85954,45561,14669,9,2355,7190,4538
3 Idiots,342935,320,97323,112093,11229,206229,245,81445,95896,9355,34730,47,14520,14970,1693
Toy Story,884635,833,190201,336904,78185,510223,593,141458,268439,63144,132518,151,44695,64120,13764
Capharnaüm,61443,89,13062,20996,5398,33535,56,9490,16582,4392,8767,23,3000,3928,870
Tengoku to jigoku,33956,48,4996,14204,6125,23431,30,4519,12884,5122,2610,17,397,1182,922
Amadeus,368029,151,54765,145861,64854,219667,117,40718,115611,52204,56185,23,13106,28462,11627
Inglourious Basterds,1262674,741,258256,518662,104555,784812,553,204656,430651,88735,152912,101,47377,80680,13906
Star Wars: Episode VI - Return of the Jedi,947800,716,159842,370132,113428,590955,564,132468,318699,96919,91570,82,24113,46537,14698
Good Will Hunting,858476,409,161291,348701,88980,510410,294,123519,281023,71282,122074,69,34247,63158,16213
Taare Zameen Par,168010,186,44279,57070,6296,100915,142,37348,49180,5068,16647,32,6376,7395,1133
Reservoir Dogs,915698,478,160297,384366,96155,590356,379,134709,334521,83075,83822,57,22145,45037,11471
