Movie,All,All(<18),All(18-29),All(30-44),All(45+),Male,Male(<18),Male(18-29),Male(30-44),Male(45+),Female,Female(<18),Female(18-29),Female(30-44),Female(45+)
The Shawshank Redemption,9.3,9.4,9.3,9.3,9.1,9.3,9.4,9.3,9.3,9.1,9.2,9.2,9.3,9.2,9.2
The Godfather,9.2,9.2,9.2,9.2,9.1,9.2,9.3,9.3,9.2,9.2,8.9,9.0,8.9,8.9,8.9
The Godfather: Part II,9.0,9.1,9.1,9.0,8.9,9.0,9.1,9.1,9.0,9.0,8.7,9.0,8.8,8.7,8.7
The Dark Knight,9.0,9.2,9.2,9.0,8.4,9.1,9.3,9.3,9.0,8.4,8.7,8.7,8.9,8.7,8.2
12 Angry Men,9.0,9.2,9.1,8.9,8.7,9.0,9.3,9.1,8.9,8.7,8.8,8.6,8.9,8.8,8.7
Schindler's List,8.9,9.1,9.0,8.9,8.7,8.9,9.1,9.1,8.9,8.7,9.0,9.0,9.0,8.9,8.9
The Lord of the Rings: The Return of the King,8.9,9.1,9.1,8.8,8.7,8.9,9.1,9.2,8.9,8.6,8.8,8.8,9.0,8.8,8.7
Pulp Fiction,8.9,9.1,8.9,8.9,8.7,8.9,9.2,9.0,9.0,8.8,8.5,8.7,8.6,8.5,8.3
"Il buono, il brutto, il cattivo",8.8,9.1,8.9,8.8,8.7,8.9,9.1,8.9,8.9,8.7,8.4,8.6,8.5,8.4,8.2
The Lord of the Rings: The Fellowship of the Ring,8.8,8.9,8.9,8.8,8.6,8.8,8.9,9.0,8.8,8.6,8.8,8.5,8.8,8.7,8.8
Fight Club,8.8,9.1,8.9,8.9,8.3,8.8,9.1,8.9,8.9,8.3,8.7,8.9,8.8,8.7,8.1
Forrest Gump,8.8,9.0,8.9,8.8,8.5,8.8,9.0,8.9,8.8,8.5,8.7,8.7,8.8,8.7,8.5
Inception,8.8,9.1,9.0,8.8,8.1,8.8,9.1,9.0,8.8,8.2,8.6,8.7,8.8,8.6,8.1
The Lord of the Rings: The Two Towers,8.7,8.8,8.9,8.7,8.5,8.7,8.8,8.9,8.7,8.5,8.7,8.6,8.8,8.6,8.6
Star Wars: Episode V - The Empire Strikes Back,8.7,8.9,8.7,8.7,8.8,8.8,8.9,8.7,8.8,8.8,8.5,8.8,8.4,8.4,8.6
The Matrix,8.7,8.6,8.5,8.8,8.6,8.8,8.6,8.6,8.8,8.6,8.3,8.3,8.2,8.3,8.4
Goodfellas,8.7,8.9,8.7,8.7,8.6,8.7,8.9,8.7,8.7,8.7,8.4,8.9,8.4,8.3,8.3
One Flew Over the Cuckoo's Nest,8.7,9.0,8.7,8.6,8.7,8.7,9.0,8.7,8.7,8.7,8.6,9.0,8.6,8.6,8.7
Shichinin no samurai,8.6,9.0,8.6,8.6,8.7,8.7,9.0,8.7,8.7,8.7,8.3,8.8,8.2,8.3,8.4
Se7en,8.6,8.9,8.6,8.6,8.4,8.6,8.9,8.7,8.7,8.5,8.5,8.7,8.5,8.5,8.3
La vita è bella,8.6,8.5,8.8,8.6,8.2,8.6,8.5,8.7,8.6,8.1,8.8,8.1,9.0,8.9,8.4
Cidade de Deus,8.6,8.6,8.7,8.6,8.3,8.6,8.6,8.7,8.7,8.3,8.4,8.0,8.5,8.4,8.2
The Silence of the Lambs,8.6,8.7,8.6,8.6,8.6,8.6,8.7,8.6,8.6,8.6,8.6,8.5,8.6,8.5,8.7
It's a Wonderful Life,8.6,8.7,8.7,8.5,8.6,8.6,8.8,8.8,8.6,8.6,8.6,8.2,8.6,8.5,8.7
Star Wars,8.6,8.6,8.5,8.6,8.8,8.6,8.6,8.5,8.6,8.8,8.4,8.7,8.3,8.4,8.7
Saving Private Ryan,8.6,8.6,8.7,8.5,8.4,8.6,8.6,8.7,8.6,8.5,8.1,8.4,8.3,8.0,8.1
Sen to Chihiro no kamikakushi,8.6,8.7,8.7,8.5,8.3,8.5,8.7,8.6,8.5,8.3,8.7,8.7,8.8,8.7,8.5
The Green Mile,8.6,8.8,8.7,8.5,8.4,8.6,8.7,8.7,8.5,8.3,8.7,8.8,8.8,8.6,8.6
Interstellar,8.6,8.8,8.9,8.5,8.0,8.6,8.9,8.9,8.6,8.0,8.4,8.3,8.6,8.3,7.8
Gisaengchung,8.6,9.0,8.8,8.4,8.1,8.5,9.1,8.8,8.4,8.1,8.5,8.6,8.7,8.4,8.2
Léon,8.5,8.6,8.6,8.6,8.4,8.5,8.6,8.5,8.6,8.4,8.6,8.4,8.7,8.6,8.4
Seppuku,8.6,8.4,8.7,8.6,8.5,8.6,8.6,8.7,8.6,8.5,8.3,6.7,8.2,8.5,8.2
The Usual Suspects,8.5,8.4,8.5,8.5,8.5,8.6,8.4,8.5,8.6,8.5,8.4,8.3,8.3,8.4,8.5
The Lion King,8.5,8.6,8.7,8.5,7.9,8.4,8.5,8.6,8.4,7.8,8.8,8.6,8.9,8.8,8.3
The Pianist,8.5,8.6,8.7,8.5,8.2,8.5,8.7,8.6,8.5,8.2,8.6,8.2,8.8,8.6,8.4
Back to the Future,8.5,8.7,8.5,8.6,8.4,8.5,8.7,8.5,8.6,8.4,8.4,8.5,8.3,8.4,8.3
Terminator 2: Judgment Day,8.5,8.7,8.4,8.6,8.3,8.6,8.7,8.4,8.7,8.4,8.1,8.5,7.9,8.1,8.1
American History X,8.5,8.6,8.6,8.5,8.1,8.5,8.5,8.6,8.5,8.1,8.6,8.8,8.7,8.6,8.3
Modern Times,8.5,8.4,8.6,8.5,8.5,8.5,8.4,8.6,8.5,8.5,8.5,7.8,8.4,8.5,8.4
Psycho,8.5,8.7,8.6,8.5,8.5,8.5,8.8,8.6,8.5,8.5,8.4,8.2,8.5,8.4,8.4
Gladiator,8.5,8.4,8.6,8.5,8.3,8.6,8.4,8.6,8.6,8.3,8.3,8.2,8.4,8.2,8.2
City Lights,8.5,8.6,8.6,8.5,8.5,8.5,8.7,8.6,8.5,8.5,8.5,8.7,8.5,8.5,8.4
The Departed,8.5,8.6,8.7,8.5,8.1,8.5,8.6,8.7,8.5,8.1,8.3,8.0,8.4,8.3,8.2
The Intouchables,8.5,8.4,8.7,8.5,8.2,8.5,8.5,8.6,8.5,8.2,8.7,7.9,8.8,8.7,8.5
Whiplash,8.5,8.8,8.7,8.4,8.1,8.5,8.9,8.7,8.4,8.1,8.3,8.2,8.5,8.2,8.2
Hotaru no haka,8.5,8.6,8.6,8.5,8.2,8.5,8.6,8.6,8.4,8.1,8.6,8.7,8.6,8.6,8.4
The Prestige,8.5,8.8,8.7,8.5,7.9,8.5,8.8,8.8,8.5,7.9,8.4,8.4,8.6,8.3,7.9
Once Upon a Time in the West,8.5,8.4,8.4,8.5,8.5,8.5,8.4,8.5,8.5,8.5,8.1,9.0,8.0,8.1,8.1
Casablanca,8.5,8.3,8.4,8.4,8.6,8.5,8.5,8.5,8.5,8.6,8.3,7.8,8.2,8.3,8.6
Nuovo Cinema Paradiso,8.5,8.5,8.6,8.5,8.4,8.5,8.5,8.6,8.4,8.4,8.5,8.4,8.6,8.5,8.5
Rear Window,8.4,8.8,8.4,8.4,8.5,8.4,8.9,8.5,8.4,8.5,8.5,8.3,8.4,8.4,8.7
Alien,8.4,8.5,8.3,8.4,8.7,8.5,8.5,8.3,8.5,8.7,8.2,8.3,8.0,8.2,8.5
Apocalypse Now,8.4,8.7,8.5,8.4,8.5,8.5,8.8,8.5,8.4,8.5,8.1,8.3,8.2,8.1,8.2
Hamilton,8.6,8.6,8.8,8.5,7.8,8.3,8.3,8.6,8.3,7.5,9.1,9.4,9.1,9.1,9.0
Memento,8.4,8.7,8.5,8.5,8.2,8.5,8.8,8.6,8.5,8.2,8.2,8.1,8.3,8.2,8.0
The Great Dictator,8.4,8.3,8.5,8.4,8.4,8.4,8.3,8.5,8.4,8.4,8.5,8.4,8.5,8.5,8.4
Raiders of the Lost Ark,8.4,8.5,8.3,8.4,8.7,8.5,8.5,8.3,8.4,8.7,8.2,8.4,8.0,8.1,8.5
Django Unchained,8.4,8.7,8.6,8.4,8.0,8.4,8.8,8.7,8.4,8.0,8.3,8.3,8.5,8.3,8.1
The Lives of Others,8.4,8.1,8.4,8.4,8.4,8.4,8.3,8.4,8.4,8.4,8.5,7.4,8.5,8.6,8.6
Joker,8.5,8.8,8.6,8.4,8.1,8.4,8.7,8.6,8.3,8.1,8.5,8.5,8.6,8.4,8.2
Paths of Glory,8.4,8.7,8.5,8.4,8.4,8.4,8.8,8.5,8.4,8.4,8.1,8.1,8.2,8.1,8.1
WALL·E,8.4,8.6,8.4,8.4,8.1,8.4,8.7,8.5,8.4,8.1,8.4,8.3,8.3,8.5,8.2
The Shining,8.4,8.8,8.4,8.4,8.4,8.4,8.8,8.4,8.4,8.4,8.3,8.7,8.2,8.3,8.3
Avengers: Infinity War,8.4,8.7,8.6,8.3,8.1,8.4,8.6,8.6,8.3,8.1,8.4,8.8,8.5,8.3,8.2
Sunset Blvd.,8.4,8.8,8.4,8.4,8.5,8.4,8.9,8.4,8.3,8.5,8.4,8.7,8.4,8.4,8.5
Witness for the Prosecution,8.4,8.5,8.6,8.4,8.3,8.4,8.5,8.6,8.4,8.3,8.4,8.2,8.5,8.4,8.5
Oldeuboi,8.4,8.7,8.5,8.4,8.0,8.4,8.7,8.5,8.4,8.0,8.2,8.3,8.3,8.3,7.9
Mononoke-hime,8.4,8.5,8.5,8.4,8.1,8.4,8.6,8.5,8.4,8.0,8.4,8.1,8.4,8.3,8.2
Spider-Man: Into the Spider-Verse,8.4,8.8,8.6,8.2,8.0,8.3,8.7,8.5,8.2,7.9,8.5,8.9,8.6,8.4,8.1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,8.5,8.4,8.4,8.3,8.4,8.6,8.4,8.4,8.4,8.1,8.1,8.1,8.1,8.1
The Dark Knight Rises,8.4,8.4,8.6,8.4,7.9,8.4,8.4,8.6,8.4,7.9,8.4,8.3,8.5,8.3,8.0
Once Upon a Time in America,8.4,8.8,8.5,8.3,8.3,8.4,8.7,8.5,8.3,8.3,8.1,9.5,8.2,8.1,8.2
Aliens,8.3,8.4,8.2,8.4,8.5,8.4,8.4,8.2,8.4,8.5,8.1,8.0,8.0,8.1,8.3
Kimi no na wa.,8.4,8.7,8.6,8.2,7.9,8.4,8.7,8.6,8.2,7.9,8.4,8.6,8.5,8.2,7.8
Coco,8.4,8.4,8.5,8.3,8.1,8.3,8.4,8.5,8.2,8.1,8.6,8.5,8.7,8.5,8.3
Avengers: Endgame,8.4,8.6,8.6,8.3,8.1,8.3,8.4,8.5,8.2,8.0,8.5,8.8,8.6,8.4,8.4
American Beauty,8.3,8.7,8.5,8.3,8.1,8.4,8.7,8.6,8.4,8.1,8.1,8.3,8.2,8.1,7.9
Braveheart,8.3,8.2,8.3,8.4,8.1,8.4,8.3,8.3,8.4,8.1,8.0,7.7,8.0,8.0,8.0
Das Boot,8.3,8.3,8.3,8.3,8.4,8.4,8.3,8.3,8.3,8.4,8.0,7.8,7.8,8.0,8.2
3 Idiots,8.4,8.4,8.7,8.2,7.2,8.4,8.4,8.7,8.2,7.2,8.3,7.5,8.6,8.2,7.1
Toy Story,8.3,8.4,8.4,8.2,8.2,8.3,8.5,8.5,8.3,8.2,8.2,8.1,8.2,8.2,8.3
Capharnaüm,8.4,7.9,8.5,8.4,8.2,8.3,8.1,8.4,8.3,8.2,8.7,7.4,8.8,8.7,8.5
Tengoku to jigoku,8.4,7.8,8.6,8.4,8.3,8.4,7.9,8.6,8.4,8.3,8.1,6.8,8.1,8.1,8.1
Amadeus,8.3,8.5,8.4,8.3,8.3,8.3,8.5,8.5,8.3,8.3,8.3,8.6,8.3,8.3,8.4
Inglourious Basterds,8.3,8.6,8.5,8.3,7.8,8.3,8.6,8.5,8.3,7.8,8.3,8.3,8.5,8.3,7.9
Star Wars: Episode VI - Return of the Jedi,8.3,8.4,8.3,8.4,8.2,8.3,8.3,8.3,8.4,8.2,8.3,8.8,8.3,8.3,8.3
Good Will Hunting,8.3,8.5,8.5,8.3,8.1,8.3,8.5,8.5,8.3,8.0,8.2,8.2,8.4,8.1,8.2
Taare Zameen Par,8.4,8.1,8.6,8.3,7.2,8.4,8.1,8.6,8.3,7.2,8.3,7.5,8.5,8.3,7.1
Reservoir Dogs,8.3,8.5,8.4,8.3,8.2,8.3,8.6,8.4,8.3,8.2,8.1,8.1,8.2,8.1,8.0
2001: A Space Odyssey,8.3,8.7,8.4,8.2,8.2,8.3,8.8,8.5,8.3,8.3,7.9,8.6,8.1,7.9,7.8
Requiem for a Dream,8.3,8.6,8.4,8.3,7.9,8.3,8.7,8.4,8.3,7.9,8.3,8.0,8.4,8.3,8.0
Vertigo,8.3,8.8,8.3,8.2,8.3,8.3,8.8,8.4,8.3,8.3,8.2,8.5,8.2,8.2,8.3
M - Eine Stadt sucht einen Mörder,8.3,8.1,8.2,8.3,8.4,8.3,8.2,8.3,8.3,8.4,8.2,7.4,8.1,8.3,8.4
Jagten,8.3,8.4,8.5,8.2,8.1,8.3,8.5,8.5,8.2,8.0,8.3,7.4,8.3,8.2,8.2
Eternal Sunshine of the Spotless Mind,8.3,8.5,8.4,8.3,7.9,8.3,8.7,8.4,8.3,7.9,8.3,8.0,8.3,8.4,7.8
Citizen Kane,8.3,8.7,8.3,8.2,8.4,8.3,8.6,8.4,8.2,8.4,8.1,9.0,8.0,8.0,8.2
Dangal,8.4,8.3,8.5,8.3,7.5,8.3,8.2,8.5,8.3,7.5,8.5,8.6,8.6,8.4,7.7
Full Metal Jacket,8.3,8.3,8.2,8.3,8.2,8.3,8.4,8.3,8.3,8.2,8.1,8.0,8.1,8.1,8.0
Ladri di biciclette,8.3,8.4,8.3,8.3,8.3,8.3,8.5,8.3,8.3,8.3,8.2,7.3,8.2,8.2,8.4
Singin' in the Rain,8.3,8.5,8.4,8.2,8.3,8.2,8.7,8.3,8.2,8.2,8.4,7.9,8.4,8.5,8.5
The Kid,8.3,8.5,8.4,8.3,8.3,8.3,8.4,8.3,8.3,8.2,8.4,8.7,8.4,8.4,8.3
North by Northwest,8.3,8.3,8.2,8.2,8.5,8.3,8.4,8.2,8.2,8.5,8.2,8.2,8.0,8.1,8.5
Snatch,8.3,8.1,8.3,8.3,8.0,8.3,8.0,8.3,8.4,8.0,8.1,8.0,8.1,8.1,7.8
A Clockwork Orange,8.3,8.7,8.4,8.3,8.0,8.3,8.8,8.5,8.3,8.1,8.1,8.2,8.3,8.1,7.7
1917,8.3,8.5,8.4,8.2,8.1,8.2,8.5,8.4,8.2,8.1,8.3,8.3,8.4,8.2,8.2
Scarface,8.3,8.5,8.4,8.3,8.0,8.3,8.4,8.4,8.3,8.1,8.0,8.6,8.1,8.0,7.8
Ikiru,8.3,8.5,8.4,8.3,8.3,8.3,8.6,8.4,8.3,8.3,8.2,7.7,8.2,8.1,8.1
Idi i smotri,8.3,8.8,8.5,8.3,8.1,8.3,9.1,8.5,8.3,8.1,8.3,8.0,8.4,8.2,8.1
Taxi Driver,8.3,8.8,8.3,8.2,8.3,8.3,8.8,8.3,8.3,8.3,8.0,8.6,8.0,8.0,8.1
Lawrence of Arabia,8.3,8.4,8.3,8.2,8.4,8.3,8.5,8.4,8.2,8.4,8.0,7.7,7.9,7.8,8.3
Toy Story 3,8.3,8.3,8.4,8.3,8.1,8.3,8.3,8.4,8.3,8.1,8.2,8.1,8.2,8.3,8.1
Amélie,8.3,7.8,8.2,8.3,8.2,8.2,7.8,8.2,8.3,8.2,8.4,7.8,8.4,8.5,8.3
Jodaeiye Nader az Simin,8.3,8.1,8.4,8.3,8.0,8.3,8.2,8.5,8.3,8.0,8.2,7.6,8.2,8.2,8.0
The Sting,8.3,7.8,8.3,8.2,8.3,8.3,7.8,8.3,8.3,8.3,8.2,7.9,8.1,8.1,8.3
Incendies,8.3,8.3,8.4,8.2,8.1,8.2,8.5,8.4,8.2,8.1,8.4,7.1,8.5,8.4,8.1
Metropolis,8.3,8.4,8.3,8.2,8.3,8.3,8.3,8.3,8.2,8.3,8.3,8.6,8.2,8.3,8.3
Per qualche dollaro in più,8.3,8.4,8.4,8.3,8.1,8.3,8.5,8.4,8.3,8.1,7.9,8.0,8.1,8.0,7.7
The Apartment,8.3,8.3,8.4,8.2,8.2,8.3,8.5,8.5,8.3,8.2,8.1,7.7,8.2,8.1,8.1
Double Indemnity,8.3,8.4,8.2,8.2,8.4,8.3,8.5,8.3,8.3,8.4,8.1,8.3,7.9,8.0,8.3
To Kill a Mockingbird,8.2,8.1,8.2,8.2,8.5,8.2,8.1,8.2,8.2,8.5,8.4,8.4,8.2,8.3,8.8
Up,8.2,8.4,8.3,8.2,8.1,8.2,8.4,8.3,8.2,8.0,8.4,8.2,8.4,8.4,8.3
Indiana Jones and the Last Crusade,8.2,8.3,8.2,8.3,8.1,8.3,8.4,8.2,8.3,8.1,8.1,8.3,8.0,8.1,8.1
Heat,8.2,8.2,8.2,8.3,8.1,8.3,8.2,8.3,8.3,8.1,7.8,8.5,7.9,7.8,7.8
L.A. Confidential,8.2,8.2,8.3,8.2,8.1,8.3,8.2,8.3,8.3,8.2,8.0,7.8,8.0,7.9,8.0
Die Hard,8.2,8.4,8.1,8.2,8.2,8.3,8.4,8.2,8.3,8.3,7.9,8.0,7.8,7.8,8.1
Green Book,8.2,8.2,8.3,8.2,8.2,8.2,8.1,8.3,8.1,8.1,8.4,8.3,8.4,8.3,8.4
Monty Python and the Holy Grail,8.2,8.5,8.2,8.2,8.3,8.2,8.5,8.2,8.2,8.3,8.2,8.2,8.1,8.2,8.2
Yôjinbô,8.2,8.2,8.2,8.2,8.3,8.3,8.2,8.2,8.3,8.3,7.9,8.9,7.8,7.9,8.0
Batman Begins,8.2,8.2,8.3,8.2,8.0,8.3,8.2,8.3,8.3,8.0,8.0,8.0,8.1,8.0,7.9
Rashômon,8.2,8.2,8.2,8.2,8.3,8.2,8.5,8.2,8.2,8.3,8.1,7.6,8.0,8.1,8.2
Der Untergang,8.2,8.4,8.2,8.2,8.3,8.2,8.3,8.3,8.2,8.3,8.1,8.2,8.1,8.0,8.2
Bacheha-Ye aseman,8.3,8.2,8.4,8.3,7.9,8.2,8.1,8.4,8.2,7.8,8.5,8.4,8.5,8.5,8.3
Unforgiven,8.2,8.4,8.1,8.2,8.3,8.2,8.5,8.2,8.2,8.4,7.8,8.5,7.7,7.7,7.9
Some Like It Hot,8.2,8.4,8.3,8.2,8.3,8.2,8.4,8.3,8.1,8.2,8.4,8.2,8.4,8.3,8.4
Ran,8.2,8.2,8.3,8.2,8.2,8.2,8.2,8.4,8.2,8.2,8.0,8.3,8.0,8.0,8.1
Hauru no ugoku shiro,8.2,8.1,8.3,8.2,7.9,8.1,8.1,8.2,8.0,7.8,8.6,8.2,8.7,8.6,8.3
All About Eve,8.2,7.2,8.2,8.1,8.4,8.1,6.8,8.2,8.1,8.3,8.4,7.8,8.3,8.4,8.6
Casino,8.2,8.4,8.3,8.2,7.9,8.2,8.3,8.3,8.2,8.0,7.9,8.5,8.0,7.9,7.7
A Beautiful Mind,8.2,8.1,8.4,8.2,7.8,8.2,8.2,8.4,8.2,7.8,8.2,8.1,8.4,8.2,8.0
The Great Escape,8.2,8.2,8.2,8.2,8.3,8.2,8.2,8.2,8.2,8.3,8.1,8.8,8.1,8.0,8.2
The Wolf of Wall Street,8.2,8.5,8.4,8.1,7.7,8.2,8.6,8.5,8.2,7.8,7.8,8.0,7.9,7.8,7.5
Pan's Labyrinth,8.2,8.6,8.2,8.2,8.1,8.2,8.5,8.2,8.2,8.0,8.3,8.6,8.2,8.3,8.2
El secreto de sus ojos,8.2,7.1,8.2,8.2,8.1,8.2,7.2,8.3,8.2,8.1,8.2,6.7,8.2,8.2,8.2
There Will Be Blood,8.2,8.6,8.4,8.1,7.7,8.2,8.7,8.5,8.1,7.7,7.9,8.3,8.1,7.8,7.6
"Lock, Stock and Two Smoking Barrels",8.2,8.3,8.2,8.2,7.9,8.2,8.3,8.3,8.2,7.9,8.1,7.4,8.2,8.1,7.7
Tonari no Totoro,8.2,8.2,8.1,8.2,8.1,8.1,8.2,8.1,8.1,8.1,8.4,8.1,8.3,8.5,8.4
Raging Bull,8.2,8.5,8.2,8.1,8.1,8.2,8.5,8.3,8.2,8.2,7.7,8.4,7.8,7.7,7.7
Judgment at Nuremberg,8.2,7.4,8.3,8.2,8.2,8.2,7.5,8.3,8.2,8.2,8.3,6.6,8.3,8.2,8.4
The Treasure of the Sierra Madre,8.2,8.0,8.2,8.1,8.3,8.2,8.1,8.2,8.2,8.3,7.9,6.8,7.7,7.8,8.2
Dial M for Murder,8.2,8.2,8.3,8.2,8.0,8.2,8.3,8.3,8.2,8.0,8.2,7.1,8.2,8.1,8.2
"Three Billboards Outside Ebbing, Missouri",8.2,8.3,8.3,8.1,8.1,8.1,8.4,8.3,8.0,8.0,8.2,8.1,8.3,8.1,8.2
Shutter Island,8.2,8.6,8.5,8.1,7.5,8.1,8.6,8.5,8.1,7.5,8.2,8.3,8.4,8.1,7.7
The Gold Rush,8.2,8.2,8.2,8.1,8.2,8.2,8.2,8.2,8.1,8.2,8.1,7.4,8.1,8.1,8.1
Chinatown,8.1,8.4,8.2,8.1,8.2,8.2,8.4,8.2,8.1,8.2,7.9,7.7,7.9,7.8,8.1
Babam ve Oglum,8.3,7.2,8.4,8.3,7.4,8.2,7.3,8.4,8.3,7.4,8.5,6.6,8.6,8.5,7.3
No Country for Old Men,8.1,8.5,8.3,8.1,8.0,8.2,8.6,8.3,8.1,8.0,7.7,8.3,7.8,7.7,7.8
V for Vendetta,8.2,8.2,8.4,8.2,7.7,8.2,8.2,8.3,8.2,7.7,8.2,8.1,8.4,8.1,7.6
Inside Out,8.1,8.0,8.3,8.1,7.9,8.1,8.0,8.3,8.1,7.9,8.2,8.0,8.3,8.2,7.9
Det sjunde inseglet,8.2,8.0,8.2,8.1,8.1,8.1,8.2,8.2,8.1,8.1,8.2,7.8,8.2,8.1,8.2
The Elephant Man,8.1,8.4,8.3,8.1,8.1,8.1,8.4,8.3,8.1,8.1,8.2,8.4,8.3,8.2,8.2
The Thing,8.1,8.5,8.1,8.1,8.2,8.2,8.5,8.2,8.1,8.2,7.7,8.5,7.7,7.7,7.9
Warrior,8.2,8.1,8.4,8.1,7.7,8.2,8.1,8.4,8.1,7.7,8.2,7.5,8.4,8.1,7.9
The Sixth Sense,8.1,8.3,8.2,8.1,8.2,8.1,8.2,8.2,8.1,8.2,8.2,8.4,8.2,8.1,8.4
Trainspotting,8.1,8.3,8.2,8.1,8.0,8.1,8.4,8.2,8.1,8.0,8.1,8.1,8.2,8.1,7.9
Jurassic Park,8.1,8.3,8.1,8.2,7.9,8.1,8.3,8.1,8.2,7.9,8.0,8.2,7.9,8.0,8.0
Klaus,8.2,8.4,8.3,8.1,7.9,8.1,8.4,8.2,8.0,7.8,8.4,8.1,8.5,8.4,8.2
The Truman Show,8.1,8.6,8.3,8.1,7.7,8.1,8.7,8.4,8.1,7.7,8.0,8.2,8.2,8.0,7.6
Gone with the Wind,8.1,7.9,8.3,8.1,8.1,8.0,7.7,8.2,8.0,8.0,8.5,8.0,8.4,8.5,8.6
Finding Nemo,8.1,8.1,8.2,8.1,8.1,8.1,8.2,8.2,8.0,8.0,8.3,8.0,8.3,8.3,8.4
Smultronstället,8.2,8.1,8.3,8.1,8.1,8.2,8.2,8.3,8.1,8.1,8.2,7.2,8.2,8.1,8.2
Blade Runner,8.1,8.3,8.0,8.0,8.5,8.2,8.4,8.0,8.1,8.5,7.8,7.9,7.7,7.7,8.2
Stalker,8.2,8.4,8.4,8.1,7.8,8.1,8.5,8.4,8.1,7.8,8.2,7.8,8.4,8.2,8.0
Kill Bill: Vol. 1,8.1,8.3,8.2,8.1,7.9,8.1,8.3,8.2,8.1,7.9,8.1,8.3,8.2,8.1,7.7
Salinui chueok,8.1,8.5,8.3,8.1,7.7,8.1,8.7,8.4,8.1,7.7,7.9,6.9,8.1,7.9,7.7
